"AUDITUSER,AUDITTIMESTAMP,DATESTAMP,EQINFIX,EQPOSTFIX,VARID"
"---------,--------------,---------,-------,---------,-----"
"NARANJODL,2024-07-09 10"
"RUSTAF,2024-10-01 11"
"NARANJODL,2024-07-09 10"
"RUSTAF,2024-10-11 08"
"NARANJODL,2024-07-09 11"
"RUSTAF,2024-07-09 12"
"NARANJODL,2024-07-10 15"
"NARANJODL,2024-07-10 15"
"RUSTAF,2024-07-18 10"
"RUSTAF,2024-07-18 14"
"RUSTAF,2024-07-19 08"
"RUSTAF,2025-03-07 12"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-07-19 09"
"RUSTAF,2024-07-19 09"
"RUSTAF,2024-07-19 09"
"RUSTAF,2024-07-19 09"
"NARANJODL,2024-07-25 09"
"RUSTAF,2024-08-08 15"
"RUSTAF,2024-08-08 16"
"RUSTAF,2024-08-13 16"
"RUSTAF,2024-08-13 17"
"RUSTAF,2024-08-13 17"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-08-14 08"
"RUSTAF,2024-08-14 08"
"RUSTAF,2024-08-15 14"
"RUSTAF,2024-08-16 08"
"RUSTAF,2024-08-27 11"
"RUSTAF,2024-09-02 15"
"RUSTAF,2024-09-02 16"
"RUSTAF,2024-09-05 10"
"RUSTAF,2024-09-05 10"
"RUSTAF,2024-09-05 11"
"RUSTAF,2024-09-05 11"
"RUSTAF,2024-09-11 15"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-09-18 14"
"RUSTAF,2024-09-19 14"
"RUSTAF,2024-10-01 14"
"RUSTAF,2024-10-03 08"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-09 11"
"RUSTAF,2024-10-09 11"
"RUSTAF,2024-10-22 14"
"RUSTAF,2024-11-19 09"
"RUSTAF,2024-10-29 16"
"RUSTAF,2024-12-16 17"
"RUSTAF,2024-12-19 10"
"RUSTAF,2025-02-04 09"
"RUSTAF,2025-02-21 08"
"RUSTAF,2025-06-24 14"
"RUSTAF,2025-06-24 14"
"RUSTAF,2025-06-24 17"
"NARANJODL,2024-07-09 15"
"NARANJODL,2024-07-09 15"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-04 15"
"NARANJODL,2024-07-09 15"
"NARANJODL,2024-07-09 15"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-14 09"
"RUSTAF,2024-11-04 13"
"RUSTAF,2024-11-18 16"
"RUSTAF,2025-01-06 11"
"RUSTAF,2025-06-24 17"
"RUSTAF,2024-07-24 16"
"RUSTAF,2024-09-17 16"
"RUSTAF,2024-07-24 17"
"RUSTAF,2024-07-24 17"
"RUSTAF,2024-10-09 11"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-11-22 09"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 14"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-04 15"
"RUSTAF,2024-10-22 14"
"RUSTAF,2024-08-13 15"
"RUSTAF,2024-08-13 15"
"RUSTAF,2025-03-07 12"
"RUSTAF,2025-03-07 11"
"RUSTAF,2024-09-02 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-11 09"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-04 16"
"RUSTAF,2024-10-14 09"
"RUSTAF,2024-10-04 17"
"RUSTAF,2024-11-19 09"
